äädikaline, äädikalise, äädikalist, äädikalisesse|äädikalisse, äädikaliste, äädikalisi
olev, oleva, olevat, olevasse, olevate, olevaid
õlgne, õlgse, õlgset, õlgsesse, õlgsete, õlgseid
õlikas, õlika, õlikat, õlikasse, õlikate, õlikaid
õline, õlise, õlist, õlisesse, õliste, õliseid
oluline, olulise, olulist, olulisesse|olulisse, oluliste, olulisi
omaduslik, omadusliku, omaduslikku, omaduslikusse|omaduslikku, omaduslike|omaduslikkude, omaduslikke|omaduslikkusid
omandatav, omandatava, omandatavat, omandatavasse, omandatavate, omandatavaid
omane, omase, omast, omasesse, omaste, omaseid
oma, oma, oma, omasse, omade, omi|omasid
õndsalik, õndsaliku, õndsalikku, õndsalikusse|õndsalikku, õndsalike|õndsalikkude, õndsalikke|õndsalikkusid
õnnekas, õnneka, õnnekat, õnnekasse, õnnekate, õnnekaid
õnnelik, õnneliku, õnnelikku, õnnelikusse|õnnelikku, õnnelike|õnnelikkude, õnnelikke|õnnelikkusid
õnnestav, õnnestava, õnnestavat, õnnestavasse, õnnestavate, õnnestavaid
õnnestunud, õnnestunu, õnnestunut, õnnestunusse, õnnestunute, õnnestunuid
õnnetu, õnnetu, õnnetut, õnnetusse, õnnetute, õnnetuid
õnnis, õndsa, õndsat|õnnist, õndsasse, õndsate, õndsaid
õnnistatu, õnnistatu, õnnistatut, õnnistatusse, õnnistatute, õnnistatuid
ontlik, ontliku, ontlikku, ontlikusse|ontlikku, ontlike|ontlikkude, ontlikke|ontlikkusid
oodatav, oodatava, oodatavat, oodatavasse, oodatavate, oodatavaid
oodatud, oodatu, oodatut, oodatusse, oodatute, oodatuid
õõnes, õõnsa, õõnest|õõnsat, õõnsasse, õõnsate, õõnsaid
öösine, öösise, öösist, öösisesse|öösisse, öösiste, öösisi|öösiseid
ootamatu, ootamatu, ootamatut, ootamatusse, ootamatute, ootamatuid
ootav, ootava, ootavat, ootavasse, ootavate, ootavaid
õõvastav, õõvastava, õõvastavat, õõvastavasse, õõvastavate, õõvastavaid
opaakne, opaakse, opaakset, opaaksesse, opaaksete, opaakseid
opaalne, opaalse, opaalset, opaalsesse, opaalsete, opaalseid
õpetatud, õpetatu, õpetatut, õpetatusse, õpetatute, õpetatuid
õpetav, õpetava, õpetavat, õpetavasse, õpetavate, õpetavaid
opositsiooniline, opositsioonilise, opositsioonilist, opositsioonilisesse|opositsioonilisse, opositsiooniliste, opositsioonilisi
õppinu, õppinu, õppinut, õppinusse, õppinute, õppinuid
optiline, optilise, optilist, optilisesse|optilisse, optiliste, optilisi
optimaalne, optimaalse, optimaalset, optimaalsesse, optimaalsete, optimaalseid
optimistlik, optimistliku, optimistlikku, optimistlikusse|optimistlikku, optimistlike|optimistlikkude, optimistlikke|optimistlikkusid
oraalne, oraalse, oraalset, oraalsesse, oraalsete, oraalseid
oranž, oranži, oranži, oranžisse|oranži, oranžide, oranže|oranžisid
ordinaarne, ordinaarse, ordinaarset, ordinaarsesse, ordinaarsete, ordinaarseid
orgaaniline, orgaanilise, orgaanilist, orgaanilisesse|orgaanilisse, orgaaniliste, orgaanilisi
organisatsiooniline, organisatsioonilise, organisatsioonilist, organisatsioonilisesse|organisatsioonilisse, organisatsiooniliste, organisatsioonilisi
organiseerimatu, organiseerimatu, organiseerimatut, organiseerimatusse, organiseerimatute, organiseerimatuid
organiseeritud, organiseeritu, organiseeritut, organiseeritusse, organiseeritute, organiseerituid
orientaalne, orientaalse, orientaalset, orientaalsesse, orientaalsete, orientaalseid
orienteeritu, orienteeritu, orienteeritut, orienteeritusse, orienteeritute, orienteerituid
originaalne, originaalse, originaalset, originaalsesse, originaalsete, originaalseid
orine, orise, orist, orisesse, oriste, oriseid
orjalik, orjaliku, orjalikku, orjalikusse|orjalikku, orjalike|orjalikkude, orjalikke|orjalikkusid
orjastatud, orjastatu, orjastatut, orjastatusse, orjastatute, orjastatuid
orjuslik, orjusliku, orjuslikku, orjuslikusse|orjuslikku, orjuslike|orjuslikkude, orjuslikke|orjuslikkusid
õrn, õrna, õrna, õrnasse|õrna, õrnade, õrnu|õrnasid
ortodoksne, ortodoksse, ortodoksset, ortodokssesse, ortodokssete, ortodoksseid
osaline, osalise, osalist, osalisesse|osalisse, osaliste, osalisi
osav, osava, osavat, osavasse, osavate, osavaid
oskamatu, oskamatu, oskamatut, oskamatusse, oskamatute, oskamatuid
oskuslik, oskusliku, oskuslikku, oskuslikusse|oskuslikku, oskuslike|oskuslikkude, oskuslikke|oskuslikkusid
ostetav, ostetava, ostetavat, ostetavasse, ostetavate, ostetavaid
ostmatu, ostmatu, ostmatut, ostmatusse, ostmatute, ostmatuid
otsatu, otsatu, otsatut, otsatusse, otsatute, otsatuid
otsene, otsese, otsest, otsesesse, otseste, otseseid
otsitav, otsitava, otsitavat, otsitavasse, otsitavate, otsitavaid
otsitud, otsitu, otsitut, otsitusse, otsitute, otsituid
otsiv, otsiva, otsivat, otsivasse, otsivate, otsivaid
otsmine, otsmise, otsmist, otsmisesse|otsmisse, otsmiste, otsmisi|otsmiseid
otsustamatu, otsustamatu, otsustamatut, otsustamatusse, otsustamatute, otsustamatuid
otsustatu, otsustatu, otsustatut, otsustatusse, otsustatute, otsustatuid
otsustav, otsustava, otsustavat, otsustavasse, otsustavate, otsustavaid
ovaalne, ovaalse, ovaalset, ovaalsesse, ovaalsete, ovaalseid
paadunud, paadunu, paadunut, paadunusse, paadunute, paadunuid
paaniline, paanilise, paanilist, paanilisesse|paanilisse, paaniliste, paanilisi
paaritu, paaritu, paaritut, paaritusse, paaritute, paarituid
pääsematu, pääsematu, pääsematut, pääsematusse, pääsematute, pääsematuid
pääsetav, pääsetava, pääsetavat, pääsetavasse, pääsetavate, pääsetavaid
pääsmatu, pääsmatu, pääsmatut, pääsmatusse, pääsmatute, pääsmatuid
paatoslik, paatosliku, paatoslikku, paatoslikusse|paatoslikku, paatoslike|paatoslikkude, paatoslikke|paatoslikkusid
paberlik, paberliku, paberlikku, paberlikusse|paberlikku, paberlike|paberlikkude, paberlikke|paberlikkusid
pädev, pädeva, pädevat, pädevasse, pädevate, pädevaid
paeluv, paeluva, paeluvat, paeluvasse, paeluvate, paeluvaid
paene, paese, paest, paesesse, paeste, paeseid
päevane, päevase, päevast, päevasesse, päevaste, päevaseid
paganlik, paganliku, paganlikku, paganlikusse|paganlikku, paganlike|paganlikkude, paganlikke|paganlikkusid
pahane, pahase, pahast, pahasesse, pahaste, pahaseid
paha, paha, paha, pahasse, pahade, pahu|pahasid
paheline, pahelise, pahelist, pahelisesse|pahelisse, paheliste, pahelisi
pahnane, pahnase, pahnast, pahnasesse, pahnaste, pahnaseid
pahur, pahura, pahurat, pahurasse, pahurate, pahuraid
pahv, pahvi, pahvi, pahvisse|pahvi, pahvide, pahve|pahvisid
paigaline, paigalise, paigalist, paigalisesse|paigalisse, paigaliste, paigalisi
paigutine, paigutise, paigutist, paigutisesse|paigutisse, paigutiste, paigutisi
päikeseline, päikeselise, päikeselist, päikeselisesse|päikeselisse, päikeseliste, päikeselisi
paikkondlik, paikkondliku, paikkondlikku, paikkondlikusse|paikkondlikku, paikkondlike|paikkondlikkude, paikkondlikke|paikkondlikkusid
paiklik, paikliku, paiklikku, paiklikusse|paiklikku, paiklike|paiklikkude, paiklikke|paiklikkusid
paikne, paikse, paikset, paiksesse, paiksete, paikseid
päikseline, päikselise, päikselist, päikselisesse|päikselisse, päikseliste, päikselisi
paindlik, paindliku, paindlikku, paindlikusse|paindlikku, paindlike|paindlikkude, paindlikke|paindlikkusid
paindumatu, paindumatu, paindumatut, paindumatusse, paindumatute, paindumatuid
painduv, painduva, painduvat, painduvasse, painduvate, painduvaid
päine, päise, päist, päisesse, päiste, päiseid
paisteline, paistelise, paistelist, paistelisesse|paistelisse, paisteliste, paistelisi
paistev, paistva, paistvat, paistvasse, paistvate, paistvaid
paistmatu, paistmatu, paistmatut, paistmatusse, paistmatute, paistmatuid
paisutatu, paisutatu, paisutatut, paisutatusse, paisutatute, paisutatuid
paitav, paitava, paitavat, paitavasse, paitavate, paitavaid
pakaseline, pakaselise, pakaselist, pakaselisesse|pakaselisse, pakaseliste, pakaselisi
pakasene, pakasese, pakasest, pakasesesse|pakasesse, pakaseste, pakasesi
pakiline, pakilise, pakilist, pakilisesse|pakilisse, pakiliste, pakilisi
pakkuv, pakkuva, pakkuvat, pakkuvasse, pakkuvate, pakkuvaid
paklane, paklase, paklast, paklasesse|paklasse, paklaste, paklasi|paklaseid
paklik, pakliku, paklikku, paklikusse|paklikku, paklike|paklikkude, paklikke|paklikkusid
paks, paksu, paksu, paksusse|paksu, paksude, pakse|paksusid
palaganlik, palaganliku, palaganlikku, palaganlikusse|palaganlikku, palaganlike|palaganlikkude, palaganlikke|palaganlikkusid
palav, palava, palavat, palavasse, palavate, palavaid
paleuslik, paleusliku, paleuslikku, paleuslikusse|paleuslikku, paleuslike|paleuslikkude, paleuslikke|paleuslikkusid
palgaline, palgalise, palgalist, palgalisesse|palgalisse, palgaliste, palgalisi
palgeline, palgelise, palgelist, palgelisesse|palgelisse, palgeliste, palgelisi
paljas, palja, paljast, paljasse, paljaste, paljaid
paljastav, paljastava, paljastavat, paljastavasse, paljastavate, paljastavaid
palumatu, palumatu, palumatut, palumatusse, palumatute, palumatuid
palutud, palutu, palutut, palutusse, palutute, palutuid
paluv, paluva, paluvat, paluvasse, paluvate, paluvaid
pandamatu, pandamatu, pandamatut, pandamatusse, pandamatute, pandamatuid
pandav, pandava, pandavat, pandavasse, pandavate, pandavaid
panematu, panematu, panematut, panematusse, panematute, panematuid
panev, paneva, panevat, panevasse, panevate, panevaid
pankrotistunu, pankrotistunu, pankrotistunut, pankrotistunusse, pankrotistunute, pankrotistunuid
paraadlik, paraadliku, paraadlikku, paraadlikusse|paraadlikku, paraadlike|paraadlikkude, paraadlikke|paraadlikkusid
paradiislik, paradiisliku, paradiislikku, paradiislikusse|paradiislikku, paradiislike|paradiislikkude, paradiislikke|paradiislikkusid
paradoksaalne, paradoksaalse, paradoksaalset, paradoksaalsesse, paradoksaalsete, paradoksaalseid
paradoksne, paradoksse, paradoksset, paradokssesse, paradokssete, paradoksseid
paralleelne, paralleelse, paralleelset, paralleelsesse, paralleelsete, paralleelseid
paralüütiline, paralüütilise, paralüütilist, paralüütilisesse|paralüütilisse, paralüütiliste, paralüütilisi
päramine, päramise, päramist, päramisesse|päramisse, päramiste, päramisi
pärandatav, pärandatava, pärandatavat, pärandatavasse, pärandatavate, pärandatavaid
paranenud, paranenu, paranenut, paranenusse, paranenute, paranenuid
pärane, pärase, pärast, pärasesse, päraste, päraseid
paras, paraja, parajat|parast, parajasse, parajate, parajaid
paratamatu, paratamatu, paratamatut, paratamatusse, paratamatute, paratamatuid
päratu, päratu, päratut, päratusse, päratute, päratuid
pärilik, päriliku, pärilikku, pärilikusse|pärilikku, pärilike|pärilikkude, pärilikke|pärilikkusid
pärimuslik, pärimusliku, pärimuslikku, pärimuslikusse|pärimuslikku, pärimuslike|pärimuslikkude, pärimuslikke|pärimuslikkusid
päritav, päritava, päritavat, päritavasse, päritavate, päritavaid
päritud, päritu, päritut, päritusse, päritute, pärituid
parrakas, parraka, parrakat, parrakasse, parrakate, parrakaid
parteiline, parteilise, parteilist, parteilisesse|parteilisse, parteiliste, parteilisi|parteiliseid
parteitu, parteitu, parteitut, parteitusse, parteitute, parteituid
päruslik, pärusliku, päruslikku, päruslikusse|päruslikku, päruslike|päruslikkude, päruslikke|päruslikkusid
passiivne, passiivse, passiivset, passiivsesse, passiivsete, passiivseid
pateetiline, pateetilise, pateetilist, pateetilisesse|pateetilisse, pateetiliste, pateetilisi
patriarhaalne, patriarhaalse, patriarhaalset, patriarhaalsesse, patriarhaalsete, patriarhaalseid
patriootiline, patriootilise, patriootilist, patriootilisesse|patriootilisse, patriootiliste, patriootilisi
patriootlik, patriootliku, patriootlikku, patriootlikusse|patriootlikku, patriootlike|patriootlikkude, patriootlikke|patriootlikkusid
patune, patuse, patust, patusesse, patuste, patuseid
pealmine, pealmise, pealmist, pealmisesse|pealmisse, pealmiste, pealmisi|pealmiseid
pealne, pealse, pealset, pealsesse, pealsete, pealseid
peamine, peamise, peamist, peamisesse|peamisse, peamiste, peamisi|peamiseid
peatatu, peatatu, peatatut, peatatusse, peatatute, peatatuid
peatne, peatse, peatset, peatsesse, peatsete, peatseid
pedagoogiline, pedagoogilise, pedagoogilist, pedagoogilisesse|pedagoogilisse, pedagoogiliste, pedagoogilisi
pedantne, pedantse, pedantset, pedantsesse, pedantsete, pedantseid
peenike, peenikese, peenikest, peenikesesse|peenikesse, peenikeste, peenikesi
peenjas, peenja, peenjat, peenjasse, peenjate, peenjaid
peen, peene, peent, peenesse|peende, peente, peeni
peenutsev, peenutseva, peenutsevat, peenutsevasse, peenutsevate, peenutsevaid
peetav, peetava, peetavat, peetavasse, peetavate, peetavaid
peetud, peetu, peetut, peetusse, peetute, peetuid
pehkinud, pehkinu, pehkinut, pehkinusse, pehkinute, pehkinuid
pehmendav, pehmendava, pehmendavat, pehmendavasse, pehmendavate, pehmendavaid
