aadeldama, aadeldada, aadeldab, aadeldatakse, aadeldage, aadeldas, aadeldanud, aadeldatud
amüseerima, amüseerida, amüseerib, amüseeritakse, amüseerige, amüseeris, amüseerinud, amüseeritud
analüüsima, analüüsida, analüüsib, analüüsitakse, analüüsige, analüüsis, analüüsinud, analüüsitud
anastama, anastada, anastab, anastatakse, anastage, anastas, anastanud, anastatud
andestama, andestada, andestab, andestatakse, andestage, andestas, andestanud, andestatud
andma, anda, annab, antakse, andke, andis, andnud, antud
anduma, anduda, andub, andutakse, anduge, andus, andunud, andutud
anesteseerima, anesteseerida, anesteseerib, anesteseeritakse, anesteseerige, anesteseeris, anesteseerinud, anesteseeritud
angažeerima, angažeerida, angažeerib, angažeeritakse, angažeerige, angažeeris, angažeerinud, angažeeritud
ängistama, ängistada, ängistab, ängistatakse, ängistage, ängistas, ängistanud, ängistatud
ängistuma, ängistuda, ängistub, ängistutakse, ängistuge, ängistus, ängistunud, ängistutud
animeerima, animeerida, animeerib, animeeritakse, animeerige, animeeris, animeerinud, animeeritud
ankeetima, ankeetida, ankeedib, ankeeditakse, ankeetige, ankeetis, ankeetinud, ankeeditud
ankurdama, ankurdada, ankurdab, ankurdatakse, ankurdage, ankurdas, ankurdanud, ankurdatud
annekteerima, annekteerida, annekteerib, annekteeritakse, annekteerige, annekteeris, annekteerinud, annekteeritud
annetama, annetada, annetab, annetatakse, annetage, annetas, annetanud, annetatud
annoteerima, annoteerida, annoteerib, annoteeritakse, annoteerige, annoteeris, annoteerinud, annoteeritud
annulleerima, annulleerida, annulleerib, annulleeritakse, annulleerige, annulleeris, annulleerinud, annulleeritud
annustama, annustada, annustab, annustatakse, annustage, annustas, annustanud, annustatud
antikiseerima, antikiseerida, antikiseerib, antikiseeritakse, antikiseerige, antikiseeris, antikiseerinud, antikiseeritud
antitsipeerima, antitsipeerida, antitsipeerib, antitsipeeritakse, antitsipeerige, antitsipeeris, antitsipeerinud, antitsipeeritud
anuma, anuda, anub, anutakse, anuge, anus, anunud, anutud
äparduma, äparduda, äpardub, äpardutakse, äparduge, äpardus, äpardunud, äpardutud
apelleerima, apelleerida, apelleerib, apelleeritakse, apelleerige, apelleeris, apelleerinud, apelleeritud
aplitseerima, aplitseerida, aplitseerib, aplitseeritakse, aplitseerige, aplitseeris, aplitseerinud, aplitseeritud
aplodeerima, aplodeerida, aplodeerib, aplodeeritakse, aplodeerige, aplodeeris, aplodeerinud, aplodeeritud
apostrofeerima, apostrofeerida, apostrofeerib, apostrofeeritakse, apostrofeerige, apostrofeeris, apostrofeerinud, apostrofeeritud
aprobeerima, aprobeerida, aprobeerib, aprobeeritakse, aprobeerige, aprobeeris, aprobeerinud, aprobeeritud
aproksimeerima, aproksimeerida, aproksimeerib, aproksimeeritakse, aproksimeerige, aproksimeeris, aproksimeerinud, aproksimeeritud
arabiseeruma, arabiseeruda, arabiseerub, arabiseerutakse, arabiseeruge, arabiseerus, arabiseerunud, arabiseerutud
ärandama, ärandada, ärandab, ärandatakse, ärandage, ärandas, ärandanud, ärandatud
arastama, arastada, arastab, arastatakse, arastage, arastas, arastanud, arastatud
ärastama, ärastada, ärastab, ärastatakse, ärastage, ärastas, ärastanud, ärastatud
arastuma, arastuda, arastub, arastutakse, arastuge, arastus, arastunud, arastutud
äratama, äratada, äratab, äratatakse, äratage, äratas, äratanud, äratatud
arbitreerima, arbitreerida, arbitreerib, arbitreeritakse, arbitreerige, arbitreeris, arbitreerinud, arbitreeritud
arendama, arendada, arendab, arendatakse, arendage, arendas, arendanud, arendatud
arenema, areneda, areneb, arenetakse, arenege, arenes, arenenud, arenetud
arestima, arestida, arestib, arestitakse, arestige, arestis, arestinud, arestitud
aretama, aretada, aretab, aretatakse, aretage, aretas, aretanud, aretatud
argipäevastama, argipäevastada, argipäevastab, argipäevastatakse, argipäevastage, argipäevastas, argipäevastanud, argipäevastatud
argipäevastuma, argipäevastuda, argipäevastub, argipäevastutakse, argipäevastuge, argipäevastus, argipäevastunud, argipäevastutud
argistama, argistada, argistab, argistatakse, argistage, argistas, argistanud, argistatud
argistuma, argistuda, argistub, argistutakse, argistuge, argistus, argistunud, argistutud
ärgitama, ärgitada, ärgitab, ärgitatakse, ärgitage, ärgitas, ärgitanud, ärgitatud
arglema, arelda, argleb, areldakse, arelge, argles, arelnud, areldud
argumenteerima, argumenteerida, argumenteerib, argumenteeritakse, argumenteerige, argumenteeris, argumenteerinud, argumenteeritud
arhaiseerima, arhaiseerida, arhaiseerib, arhaiseeritakse, arhaiseerige, arhaiseeris, arhaiseerinud, arhaiseeritud
arhiivima, arhiivida, arhiivib, arhiivitakse, arhiivige, arhiivis, arhiivinud, arhiivitud
arhiveerima, arhiveerida, arhiveerib, arhiveeritakse, arhiveerige, arhiveeris, arhiveerinud, arhiveeritud
ärima, ärida, ärib, äritakse, ärige, äris, ärinud, äritud
aristokratiseerima, aristokratiseerida, aristokratiseerib, aristokratiseeritakse, aristokratiseerige, aristokratiseeris, aristokratiseerinud, aristokratiseeritud
äritsema, äritseda, äritseb, äritsetakse, äritsege, äritses, äritsenud, äritsetud
ärkama, ärgata, ärkab, ärgatakse, ärgake, ärkas, ärganud, ärgatud
armastama, armastada, armastab, armastatakse, armastage, armastas, armastanud, armastatud
armatsema, armatseda, armatseb, armatsetakse, armatsege, armatses, armatsenud, armatsetud
armistama, armistada, armistab, armistatakse, armistage, armistas, armistanud, armistatud
armistuma, armistuda, armistub, armistutakse, armistuge, armistus, armistunud, armistutud
armukadestama, armukadestada, armukadestab, armukadestatakse, armukadestage, armukadestas, armukadestanud, armukadestatud
armukadetsema, armukadetseda, armukadetseb, armukadetsetakse, armukadetsege, armukadetses, armukadetsenud, armukadetsetud
armuma, armuda, armub, armutakse, armuge, armus, armunud, armutud
aromatiseeruma, aromatiseeruda, aromatiseerub, aromatiseerutakse, aromatiseeruge, aromatiseerus, aromatiseerunud, aromatiseerutud
aromatsieerima, aromatsieerida, aromatsieerib, aromatsieeritakse, aromatsieerige, aromatsieeris, aromatsieerinud, aromatsieeritud
ärplema, ärbelda, ärpleb, ärbeldakse, ärbelge, ärples, ärbelnud, ärbeldud
arranžeerima, arranžeerida, arranžeerib, arranžeeritakse, arranžeerige, arranžeeris, arranžeerinud, arranžeeritud
arreteerima, arreteerida, arreteerib, arreteeritakse, arreteerige, arreteeris, arreteerinud, arreteeritud
ärritama, ärritada, ärritab, ärritatakse, ärritage, ärritas, ärritanud, ärritatud
ärrituma, ärrituda, ärritub, ärritutakse, ärrituge, ärritus, ärritunud, ärritutud
arstima, arstida, arstib, arstitakse, arstige, arstis, arstinud, arstitud
artikuleerima, artikuleerida, artikuleerib, artikuleeritakse, artikuleerige, artikuleeris, artikuleerinud, artikuleeritud
arutama, arutada, arutab, arutatakse, arutage, arutas, arutanud, arutatud
arutlema, arutleda, arutleb, arutletakse, arutlege, arutles, arutlenud, arutletud
arvama, arvata, arvab, arvatakse, arvake, arvas, arvanud, arvatud
arveldama, arveldada, arveldab, arveldatakse, arveldage, arveldas, arveldanud, arveldatud
arvestama, arvestada, arvestab, arvestatakse, arvestage, arvestas, arvestanud, arvestatud
arvustama, arvustada, arvustab, arvustatakse, arvustage, arvustas, arvustanud, arvustatud
arvutama, arvutada, arvutab, arvutatakse, arvutage, arvutas, arvutanud, arvutatud
äsama, äsada, äsab, äsatakse, äsage, äsas, äsanud, äsatud
asendama, asendada, asendab, asendatakse, asendage, asendas, asendanud, asendatud
asenduma, asenduda, asendub, asendutakse, asenduge, asendus, asendunud, asendutud
asenema, aseneda, aseneb, asenetakse, asenege, asenes, asenenud, asenetud
asetama, asetada, asetab, asetatakse, asetage, asetas, asetanud, asetatud
asetsema, asetseda, asetseb, asetsetakse, asetsege, asetses, asetsenud, asetsetud
asetuma, asetuda, asetub, asetutakse, asetuge, asetus, asetunud, asetutud
asfalteerima, asfalteerida, asfalteerib, asfalteeritakse, asfalteerige, asfalteeris, asfalteerinud, asfalteeritud
