aasima, aasida, aasib, aasitakse, aasige, aasis, aasinud, aasitud
disputeerima, disputeerida, disputeerib, disputeeritakse, disputeerige, disputeeris, disputeerinud, disputeeritud
dissoneerima, dissoneerida, dissoneerib, dissoneeritakse, dissoneerige, dissoneeris, dissoneerinud, dissoneeritud
dissotsieeruma, dissotsieeruda, dissotsieerub, dissotsieerutakse, dissotsieeruge, dissotsieerus, dissotsieerunud, dissotsieerutud
distantseeruma, distantseeruda, distantseerub, distantseerutakse, distantseeruge, distantseerus, distantseerunud, distantseerutud
distsiplineeruma, distsiplineeruda, distsiplineerub, distsiplineerutakse, distsiplineeruge, distsiplineerus, distsiplineerunud, distsiplineerutud
dogmatiseeruma, dogmatiseeruda, dogmatiseerub, dogmatiseerutakse, dogmatiseeruge, dogmatiseerus, dogmatiseerunud, dogmatiseerutud
doktoreeruma, doktoreeruda, doktoreerub, doktoreerutakse, doktoreeruge, doktoreerus, doktoreerunud, doktoreerutud
drapeeruma, drapeeruda, drapeerub, drapeerutakse, drapeeruge, drapeerus, drapeerunud, drapeerutud
duellima, duellida, duellib, duellitakse, duellige, duellis, duellinud, duellitud
ebalema, ebaleda, ebaleb, ebaletakse, ebalege, ebales, ebalenud, ebaletud
edendama, edendada, edendab, edendatakse, edendage, edendas, edendanud, edendatud
edenema, edeneda, edeneb, edenetakse, edenege, edenes, edenenud, edenetud
edestama, edestada, edestab, edestatakse, edestage, edestas, edestanud, edestatud
edutama, edutada, edutab, edutatakse, edutage, edutas, edutanud, edutatud
edvistama, edvistada, edvistab, edvistatakse, edvistage, edvistas, edvistanud, edvistatud
eeldama, eeldada, eeldab, eeldatakse, eeldage, eeldas, eeldanud, eeldatud
eelistama, eelistada, eelistab, eelistatakse, eelistage, eelistas, eelistanud, eelistatud
eelnema, eelneda, eelneb, eelnetakse, eelnege, eelnes, eelnenud, eelnetud
eemaldama, eemaldada, eemaldab, eemaldatakse, eemaldage, eemaldas, eemaldanud, eemaldatud
eemalduma, eemalduda, eemaldub, eemaldutakse, eemalduge, eemaldus, eemaldunud, eemaldutud
eestistuma, eestistuda, eestistub, eestistutakse, eestistuge, eestistus, eestistunud, eestistutud
efektitsema, efektitseda, efektitseb, efektitsetakse, efektitsege, efektitses, efektitsenud, efektitsetud
ehitama, ehitada, ehitab, ehitatakse, ehitage, ehitas, ehitanud, ehitatud
ehmatama, ehmatada, ehmatab, ehmatatakse, ehmatage, ehmatas, ehmatanud, ehmatatud
ehmuma, ehmuda, ehmub, ehmutakse, ehmuge, ehmus, ehmunud, ehmutud
ehtima, ehtida, ehib|ehtib, ehitakse|ehtitakse, ehtige, ehtis, ehtinud, ehitud|ehtitud
einestama, einestada, einestab, einestatakse, einestage, einestas, einestanud, einestatud
einetama, einetada, einetab, einetatakse, einetage, einetas, einetanud, einetatud
eitama, eitada, eitab, eitatakse, eitage, eitas, eitanud, eitatud
eksalteeruma, eksalteeruda, eksalteerub, eksalteerutakse, eksalteeruge, eksalteerus, eksalteerunud, eksalteerutud
eksima, eksida, eksib, eksitakse, eksige, eksis, eksinud, eksitud
eksisteerima, eksisteerida, eksisteerib, eksisteeritakse, eksisteerige, eksisteeris, eksisteerinud, eksisteeritud
eksitama, eksitada, eksitab, eksitatakse, eksitage, eksitas, eksitanud, eksitatud
ekskureerima, ekskureerida, ekskureerib, ekskureeritakse, ekskureerige, ekskureeris, ekskureerinud, ekskureeritud
ekspatrieeruma, ekspatrieeruda, ekspatrieerub, ekspatrieerutakse, ekspatrieeruge, ekspatrieerus, ekspatrieerunud, ekspatrieerutud
eksperimenteerima, eksperimenteerida, eksperimenteerib, eksperimenteeritakse, eksperimenteerige, eksperimenteeris, eksperimenteerinud, eksperimenteeritud
ekspluateerima, ekspluateerida, ekspluateerib, ekspluateeritakse, ekspluateerige, ekspluateeris, ekspluateerinud, ekspluateeritud
ekstraheeruma, ekstraheeruda, ekstraheerub, ekstraheerutakse, ekstraheeruge, ekstraheerus, ekstraheerunud, ekstraheerutud
elama, elada, elab, elatakse, elage, elas, elanud, elatud
elatama, elatada, elatab, elatatakse, elatage, elatas, elatanud, elatatud
elatuma, elatuda, elatub, elatutakse, elatuge, elatus, elatunud, elatutud
elavnema, elavneda, elavneb, elavnetakse, elavnege, elavnes, elavnenud, elavnetud
elberdama, elberdada, elberdab, elberdatakse, elberdage, elberdas, elberdanud, elberdatud
elektriseeruma, elektriseeruda, elektriseerub, elektriseerutakse, elektriseeruge, elektriseerus, elektriseerunud, elektriseerutud
elunema, eluneda, eluneb, elunetakse, elunege, elunes, elunenud, elunetud
elustuma, elustuda, elustub, elustutakse, elustuge, elustus, elustunud, elustutud
emantsipeeruma, emantsipeeruda, emantsipeerub, emantsipeerutakse, emantsipeeruge, emantsipeerus, emantsipeerunud, emantsipeerutud
embama, emmata, embab, emmatakse, emmake, embas, emmanud, emmatud
emigreeruma, emigreeruda, emigreerub, emigreerutakse, emigreeruge, emigreerus, emigreerunud, emigreerutud
ennustama, ennustada, ennustab, ennustatakse, ennustage, ennustas, ennustanud, ennustatud
eostuma, eostuda, eostub, eostutakse, eostuge, eostus, eostunud, eostutud
eputama, eputada, eputab, eputatakse, eputage, eputas, eputanud, eputatud
eraldama, eraldada, eraldab, eraldatakse, eraldage, eraldas, eraldanud, eraldatud
eralduma, eralduda, eraldub, eraldutakse, eralduge, eraldus, eraldunud, eraldutud
eranema, eraneda, eraneb, eranetakse, eranege, eranes, eranenud, eranetud
erendama, erendada, erendab, erendatakse, erendage, erendas, erendanud, erendatud
eretama, eretada, eretab, eretatakse, eretage, eretas, eretanud, eretatud
ergama, erata, ergab, eratakse, erake, ergas, eranud, eratud
ergastuma, ergastuda, ergastub, ergastutakse, ergastuge, ergastus, ergastunud, ergastutud
ergutama, ergutada, ergutab, ergutatakse, ergutage, ergutas, ergutanud, ergutatud
erinema, erineda, erineb, erinetakse, erinege, erines, erinenud, erinetud
eristama, eristada, eristab, eristatakse, eristage, eristas, eristanud, eristatud
eristuma, eristuda, eristub, eristutakse, eristuge, eristus, eristunud, eristutud
eritama, eritada, eritab, eritatakse, eritage, eritas, eritanud, eritatud
erkuma, erkuda, erkub, erkutakse, erkuge, erkus, erkunud, erkutud
erodeeruma, erodeeruda, erodeerub, erodeerutakse, erodeeruge, erodeerus, erodeerunud, erodeerutud
erutama, erutada, erutab, erutatakse, erutage, erutas, erutanud, erutatud
erutuma, erutuda, erutub, erututakse, erutuge, erutus, erutunud, erututud
esemestuma, esemestuda, esemestub, esemestutakse, esemestuge, esemestus, esemestunud, esemestutud
esindama, esindada, esindab, esindatakse, esindage, esindas, esindanud, esindatud
esinema, esineda, esineb, esinetakse, esinege, esines, esinenud, esinetud
esitlema, esitleda, esitleb, esitletakse, esitlege, esitles, esitlenud, esitletud
eskortima, eskortida, eskordib, eskorditakse, eskortige, eskortis, eskortinud, eskorditud
esteeditsema, esteeditseda, esteeditseb, esteeditsetakse, esteeditsege, esteeditses, esteeditsenud, esteeditsetud
etenduma, etenduda, etendub, etendutakse, etenduge, etendus, etendunud, etendutud
euroopastuma, euroopastuda, euroopastub, euroopastutakse, euroopastuge, euroopastus, euroopastunud, euroopastutud
evakueerima, evakueerida, evakueerib, evakueeritakse, evakueerige, evakueeris, evakueerinud, evakueeritud
evolutsioneeruma, evolutsioneeruda, evolutsioneerub, evolutsioneerutakse, evolutsioneeruge, evolutsioneerus, evolutsioneerunud, evolutsioneerutud
fassaaditsema, fassaaditseda, fassaaditseb, fassaaditsetakse, fassaaditsege, fassaaditses, fassaaditsenud, fassaaditsetud
faulitsema, faulitseda, faulitseb, faulitsetakse, faulitsege, faulitses, faulitsenud, faulitsetud
femineeruma, femineeruda, femineerub, femineerutakse, femineeruge, femineerus, femineerunud, femineerutud
feminiseeruma, feminiseeruda, feminiseerub, feminiseerutakse, feminiseeruge, feminiseerus, feminiseerunud, feminiseerutud
feodaliseeruma, feodaliseeruda, feodaliseerub, feodaliseerutakse, feodaliseeruge, feodaliseerus, feodaliseerunud, feodaliseerutud
fikseerima, fikseerida, fikseerib, fikseeritakse, fikseerige, fikseeris, fikseerinud, fikseeritud
fikseeruma, fikseeruda, fikseerub, fikseerutakse, fikseeruge, fikseerus, fikseerunud, fikseerutud
filosofeerima, filosofeerida, filosofeerib, filosofeeritakse, filosofeerige, filosofeeris, filosofeerinud, filosofeeritud
filosoofitsema, filosoofitseda, filosoofitseb, filosoofitsetakse, filosoofitsege, filosoofitses, filosoofitsenud, filosoofitsetud
filtreeruma, filtreeruda, filtreerub, filtreerutakse, filtreeruge, filtreerus, filtreerunud, filtreerutud
finisheerima, finisheerida, finisheerib, finisheeritakse, finisheerige, finisheeris, finisheerinud, finisheeritud
flirtima, flirtida, flirdib, flirditakse, flirtige, flirtis, flirtinud, flirditud
fluktueerima, fluktueerida, fluktueerib, fluktueeritakse, fluktueerige, fluktueeris, fluktueerinud, fluktueeritud
flöötima, flöötida, flöödib, flööditakse, flöötige, flöötis, flöötinud, flööditud
folkloriseeruma, folkloriseeruda, folkloriseerub, folkloriseerutakse, folkloriseeruge, folkloriseerus, folkloriseerunud, folkloriseerutud
formeerima, formeerida, formeerib, formeeritakse, formeerige, formeeris, formeerinud, formeeritud
formeeruma, formeeruda, formeerub, formeerutakse, formeeruge, formeerus, formeerunud, formeerutud
fraasitsema, fraasitseda, fraasitseb, fraasitsetakse, fraasitsege, fraasitses, fraasitsenud, fraasitsetud
funktsioneerima, funktsioneerida, funktsioneerib, funktsioneeritakse, funktsioneerige, funktsioneeris, funktsioneerinud, funktsioneeritud
födereeruma, födereeruda, födereerub, födereerutakse, födereeruge, födereerus, födereerunud, födereerutud
